sanity_reason,gene,variant_type,criteria_combo,group,count
PS3_but_VUS,BRCA1,missense,PM2_Supporting+PS3,vus,312
PS3_but_VUS,BRCA2,missense,PM2_Supporting+PS3,vus,86
pathogenic_and_benign_evidence,BRCA1,missense,BS3+PM2_Supporting+PP3,benign,83
PP3_with_BS3,BRCA1,missense,BS3+PM2_Supporting+PP3,benign,83
pathogenic_and_benign_evidence,BRCA1,synonymous,BS3+PM2_Supporting+PP3,benign,35
PP3_with_BS3,BRCA1,synonymous,BS3+PM2_Supporting+PP3,benign,35
PS3_but_VUS,BRCA2,missense,PS3,vus,16
PS3_but_VUS,BRCA1,missense,PS3,vus,11
PS3_but_VUS,BRCA1,initiation_codon,PM2_Supporting+PS3,vus,7
PS3_but_VUS,BRCA1,missense,PM2_Supporting+PS1+PS3,vus,4
pathogenic_and_benign_evidence,BRCA1,missense,BS3+PP3,benign,4
PP3_with_BS3,BRCA1,missense,BS3+PP3,benign,4
PS3_but_VUS,BRCA1,missense,PP3+PS3,vus,3
pathogenic_and_benign_evidence,BRCA2,missense,BS1_Supporting+PP3,vus,3
PS3_but_VUS,BRCA1,synonymous,PM2_Supporting+PS3,vus,2
PS3_but_VUS,BRCA1,missense,PM2_Supporting+PP4+PS3,vus,2
pathogenic_and_benign_evidence,BRCA1,missense,BP5+PM2_Supporting+PP3+PS3,vus,2
PS3_but_VUS,BRCA1,missense,BP5+PM2_Supporting+PP3+PS3,vus,2
pathogenic_and_benign_evidence,BRCA2,missense,BP5+BS3+PP3,benign,2
PP3_with_BS3,BRCA2,missense,BP5+BS3+PP3,benign,2
pathogenic_and_benign_evidence,BRCA1,synonymous,BS3+PP3,benign,1
PP3_with_BS3,BRCA1,synonymous,BS3+PP3,benign,1
pathogenic_and_benign_evidence,BRCA1,missense,BP5+PM2_Supporting+PP3,vus,1
pathogenic_and_benign_evidence,BRCA1,nonsense,BS1_Supporting+PM5_PTC+PVS1,pathogenic,1
PS3_but_VUS,BRCA1,missense,PP4+PS3,vus,1
pathogenic_and_benign_evidence,BRCA1,missense,BS3+PM2_Supporting+PS1,vus,1
pathogenic_and_benign_evidence,BRCA2,missense,BS3+PM2_Supporting+PP3,benign,1
PP3_with_BS3,BRCA2,missense,BS3+PM2_Supporting+PP3,benign,1
pathogenic_and_benign_evidence,BRCA2,missense,BS1_Supporting+BS3+PP3,benign,1
PP3_with_BS3,BRCA2,missense,BS1_Supporting+BS3+PP3,benign,1
pathogenic_and_benign_evidence,BRCA2,missense,BP5+PP3,vus,1
pathogenic_and_benign_evidence,BRCA2,missense,BP5+PM2_Supporting+PP3,vus,1
PS3_but_VUS,BRCA2,missense,PM2_Supporting+PP4+PS3,vus,1
pathogenic_and_benign_evidence,BRCA2,missense,BP5+PS3,benign,1
pathogenic_and_benign_evidence,BRCA2,missense,BP5+BS1_Supporting+BS3+PP3,benign,1
PP3_with_BS3,BRCA2,missense,BP5+BS1_Supporting+BS3+PP3,benign,1
PS3_but_VUS,BRCA2,missense,PP3+PS3,vus,1
pathogenic_and_benign_evidence,BRCA2,nonsense,BS3+PM2_Supporting+PVS1,vus,1
PVS1_but_VUS,BRCA2,nonsense,BS3+PM2_Supporting+PVS1,vus,1
