bottleneck_category,action_group,count,high_priority_count,high_spliceai_count,median_points,top_candidate_evidence
PM2_only,background_absence_only,5046,0,10,1.0,any independent variant-level evidence; otherwise low priority
mixed_splice_benign_and_pathogenic,conflicting_computational_splice_context,1276,0,0,-1.0,manual RNA/splicing review and transcript-specific interpretation
computational_pathogenic_evidence_not_enough,computational_signal_needs_noncomputational_support,842,812,842,2.0,"RNA, functional, PS4, PP1, PM3, or curated assertion evidence"
strong_pathogenic_combo_one_step_short,near_pathogenic_threshold,446,38,5,5.0,"supporting pathogenic evidence such as PP1, PS4, PM3, RNA evidence, or curated clinical assertion"
no_automated_evidence,module1_no_signal,331,0,1,0,"ClinVar/ClinGen/ENIGMA assertion context, literature, segregation, functional data"
benign_functional_evidence_not_enough,near_benign_threshold,170,2,0,-4.0,"BS2, BS4, population evidence, or curated functional strength review"
benign_evidence_not_enough,near_benign_threshold,21,0,0,-2,"BS2, BS4, population evidence, or ClinGen/ENIGMA assertion context"
other_conflicting_evidence,manual_conflict_adjudication,19,7,8,-1,manual review of mixed benign and pathogenic evidence
PM2_plus_weak_context,background_absence_only,2,0,0,5.0,stronger independent evidence; do not classify from context alone
conflicting_PVS1_BS3,manual_conflict_adjudication,1,0,0,5,"functional assay metadata, NMD/splicing review, ClinGen/ENIGMA assertion context"
