gene,action_group,count,high_priority_count,high_spliceai_count,median_points,top_candidate_evidence
BRCA2,background_absence_only,4322,0,1,1.0,any independent variant-level evidence; otherwise low priority
BRCA2,conflicting_computational_splice_context,1186,0,0,-1.0,manual RNA/splicing review and transcript-specific interpretation
BRCA1,background_absence_only,726,0,9,1.0,any independent variant-level evidence; otherwise low priority
BRCA2,computational_signal_needs_noncomputational_support,556,526,556,2.0,"RNA, functional, PS4, PP1, PM3, or curated assertion evidence"
BRCA1,near_pathogenic_threshold,342,33,4,5.0,"supporting pathogenic evidence such as PP1, PS4, PM3, RNA evidence, or curated clinical assertion"
BRCA1,computational_signal_needs_noncomputational_support,286,286,286,2.0,"RNA, functional, PS4, PP1, PM3, or curated assertion evidence"
BRCA2,module1_no_signal,280,0,0,0.0,"ClinVar/ClinGen/ENIGMA assertion context, literature, segregation, functional data"
BRCA1,near_benign_threshold,126,2,0,-4.0,"BS2, BS4, population evidence, or curated functional strength review"
BRCA2,near_pathogenic_threshold,104,5,1,5.0,"supporting pathogenic evidence such as PP1, PS4, PM3, RNA evidence, or curated clinical assertion"
BRCA1,conflicting_computational_splice_context,90,0,0,-1.0,manual RNA/splicing review and transcript-specific interpretation
BRCA2,near_benign_threshold,65,0,0,-4,"BS2, BS4, population evidence, or curated functional strength review"
BRCA1,module1_no_signal,51,0,1,0,"ClinVar/ClinGen/ENIGMA assertion context, literature, segregation, functional data"
BRCA2,manual_conflict_adjudication,16,4,5,-1.0,manual review of mixed benign and pathogenic evidence
BRCA1,manual_conflict_adjudication,4,3,3,1.5,manual review of mixed benign and pathogenic evidence
