gene,cds_exon,vus_count,tier1_urgent,tier2_high,max_priority_score,mean_priority_score,high_spliceai_count,high_spliceai_percent
BRCA1,12,102,12,43,85,49.13,55,53.92
BRCA1,11,233,10,2,85,16.41,12,5.15
BRCA1,6,16,8,8,85,75.50,16,100.00
BRCA1,9,222,7,74,85,38.58,81,36.49
BRCA2,13,26,7,12,85,57.19,19,73.08
BRCA2,4,15,7,5,85,66.13,12,80.00
BRCA1,10,42,7,1,85,30.76,8,19.05
BRCA1,13,66,6,18,85,44.24,24,36.36
BRCA2,11,37,6,6,85,44.11,12,32.43
BRCA2,9,28,5,14,85,54.68,19,67.86
BRCA1,15,82,3,9,90,35.79,11,13.41
BRCA2,10,36,2,16,85,44.72,18,50.00
BRCA1,4,76,2,15,85,39.37,16,21.05
BRCA2,2,151,2,9,85,19.09,11,7.28
BRCA2,3,23,2,8,85,50.87,10,43.48
BRCA1,7,21,2,8,85,42.10,11,52.38
BRCA2,5,10,2,7,85,71.30,9,90.00
BRCA1,16,89,2,7,90,37.00,3,3.37
BRCA1,19,57,2,3,85,28.40,2,3.51
BRCA1,1,71,1,5,83,31.06,2,2.82
BRCA2,12,5,1,3,85,58.40,3,60.00
BRCA1,14,39,1,3,85,23.64,4,10.26
BRCA1,3,43,1,2,90,33.47,2,4.65
BRCA1,21,44,1,0,90,21.27,1,2.27
BRCA2,22,440,0,87,77,24.70,87,19.77
BRCA2,26,191,0,67,73,30.09,68,35.60
BRCA2,23,379,0,55,77,15.51,55,14.51
BRCA2,15,511,0,44,77,18.55,46,9.00
BRCA1,8,98,0,42,73,35.67,51,52.04
BRCA2,6,102,0,29,73,31.07,29,28.43
BRCA2,14,482,0,23,77,13.38,38,7.88
BRCA2,16,464,0,21,77,15.27,21,4.53
BRCA2,18,424,0,17,77,14.67,25,5.90
BRCA2,20,334,0,15,77,15.97,15,4.49
BRCA2,21,533,0,12,77,14.49,12,2.25
BRCA2,8,20,0,11,73,37.15,11,55.00
BRCA2,7,18,0,10,73,45.22,10,55.56
BRCA2,17,961,0,10,65,8.17,10,1.04
BRCA2,1,123,0,8,77,12.94,8,6.50
BRCA2,19,378,0,6,77,14.62,6,1.59
BRCA1,2,58,0,5,63,31.14,0,0.00
BRCA1,5,12,0,4,65,37.58,3,25.00
BRCA1,17,22,0,4,57,32.55,0,0.00
BRCA2,25,168,0,4,65,6.09,6,3.57
BRCA1,18,80,0,3,55,28.38,0,0.00
BRCA1,20,47,0,2,73,28.79,1,2.13
BRCA2,24,670,0,2,65,9.40,3,0.45
BRCA1,22,105,0,1,55,19.50,0,0.00
